Drone,Time,North,East,Altitude,Vx,Vy
1, 0.00, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.00, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.01, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.01, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.02, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.02, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.03, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.03, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.04, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.04, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.05, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.05, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.06, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.06, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.07, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.07, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.08, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.08, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.09, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.09, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.10, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.10, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.11, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.11, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.12, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.12, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.13, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.13, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.14, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.14, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.15, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.15, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.16, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.16, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.17, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.17, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.18, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.18, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.19, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.19, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.20, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.20, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.21, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.21, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.22, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.22, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.23, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.23, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.24, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.24, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.25, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.25, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.26, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.26, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.27, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.27, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.28, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.28, 7.19, 29.74, -0.00, 2.04, -4.17
1, 0.29, 22.96, -1.35, -0.00, 4.69, -0.61
2, 0.29, 7.19, 29.74, -0.00, 2.04, -4.17
