Drone,Time,North,East,Altitude,Vx,Vy
1, 0.00, 78.93, 112.83, -0.00, 4.95, 1.43
2, 0.00, 57.09, 158.33, -0.00, 4.25, -2.66
3, 0.00, 242.92, 141.66, -0.00, -4.25, 2.67
4, 0.00, 221.07, 187.17, -0.00, -4.95, -1.44
5, 0.00, 138.22, 142.71, -0.00, 1.34, 2.46
6, 0.00, 161.77, 157.26, -0.00, -1.43, -2.40
7, 0.00, 94.71, 148.17, -0.00, 2.30, -0.08
8, 0.00, 205.31, 151.78, -0.00, -2.30, 0.08
9, 0.00, 138.80, 147.02, -0.00, 1.96, 1.60
10, 0.00, 161.20, 152.98, -0.00, -1.88, -1.62
1, 0.01, 78.93, 112.83, -0.00, 4.95, 1.43
2, 0.01, 57.09, 158.33, -0.00, 4.25, -2.66
3, 0.01, 242.92, 141.66, -0.00, -4.25, 2.67
4, 0.01, 221.07, 187.17, -0.00, -4.95, -1.44
5, 0.01, 138.22, 142.71, -0.00, 1.34, 2.46
6, 0.01, 161.77, 157.26, -0.00, -1.43, -2.40
7, 0.01, 94.71, 148.17, -0.00, 2.30, -0.08
8, 0.01, 205.31, 151.78, -0.00, -2.30, 0.08
9, 0.01, 138.80, 147.02, -0.00, 1.96, 1.60
10, 0.01, 161.20, 152.98, -0.00, -1.88, -1.62
1, 0.02, 78.93, 112.83, -0.00, 4.95, 1.43
2, 0.02, 57.09, 158.33, -0.00, 4.25, -2.66
3, 0.02, 242.92, 141.66, -0.00, -4.25, 2.67
4, 0.02, 221.07, 187.17, -0.00, -4.95, -1.44
5, 0.02, 138.22, 142.71, -0.00, 1.34, 2.46
6, 0.02, 161.77, 157.26, -0.00, -1.43, -2.40
7, 0.02, 94.71, 148.17, -0.00, 2.30, -0.08
8, 0.02, 205.31, 151.78, -0.00, -2.30, 0.08
9, 0.02, 138.80, 147.02, -0.00, 1.96, 1.60
10, 0.02, 161.20, 152.98, -0.00, -1.88, -1.62
1, 0.03, 78.93, 112.83, -0.00, 4.95, 1.43
2, 0.03, 57.09, 158.33, -0.00, 4.25, -2.66
3, 0.03, 242.92, 141.66, -0.00, -4.25, 2.67
4, 0.03, 221.07, 187.17, -0.00, -4.95, -1.44
5, 0.03, 138.22, 142.71, -0.00, 1.34, 2.46
6, 0.03, 161.77, 157.26, -0.00, -1.43, -2.40
7, 0.03, 94.71, 148.17, -0.00, 2.30, -0.08
8, 0.03, 205.31, 151.78, -0.00, -2.30, 0.08
9, 0.03, 138.80, 147.02, -0.00, 1.96, 1.60
10, 0.03, 161.20, 152.98, -0.00, -1.88, -1.62
1, 0.04, 78.93, 112.83, -0.00, 4.95, 1.43
2, 0.04, 57.09, 158.33, -0.00, 4.25, -2.66
3, 0.04, 242.92, 141.66, -0.00, -4.25, 2.67
4, 0.04, 221.07, 187.17, -0.00, -4.95, -1.44
5, 0.04, 138.22, 142.71, -0.00, 1.34, 2.46
6, 0.04, 161.77, 157.26, -0.00, -1.43, -2.40
7, 0.04, 94.71, 148.17, -0.00, 2.30, -0.08
8, 0.04, 205.31, 151.78, -0.00, -2.30, 0.08
9, 0.04, 138.80, 147.02, -0.00, 1.96, 1.60
10, 0.04, 161.20, 152.98, -0.00, -1.88, -1.62
1, 0.05, 78.93, 112.83, -0.00, 4.95, 1.43
2, 0.05, 57.09, 158.33, -0.00, 4.25, -2.66
3, 0.05, 242.92, 141.66, -0.00, -4.25, 2.67
4, 0.05, 221.07, 187.17, -0.00, -4.95, -1.44
5, 0.05, 138.22, 142.71, -0.00, 1.34, 2.46
6, 0.05, 161.77, 157.26, -0.00, -1.43, -2.40
7, 0.05, 94.71, 148.17, -0.00, 2.30, -0.08
8, 0.05, 205.31, 151.78, -0.00, -2.30, 0.08
9, 0.05, 138.80, 147.02, -0.00, 1.96, 1.60
10, 0.05, 161.20, 152.98, -0.00, -1.88, -1.62
1, 0.06, 78.93, 112.83, -0.00, 4.95, 1.43
2, 0.06, 57.09, 158.33, -0.00, 4.25, -2.66
