Drone,Time,North,East,Altitude,Vx,Vy
1, 0.00, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.00, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.00, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.01, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.01, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.01, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.02, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.02, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.02, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.03, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.03, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.03, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.04, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.04, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.04, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.05, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.05, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.05, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.06, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.06, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.06, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.07, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.07, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.07, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.08, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.08, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.08, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.09, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.09, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.09, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.10, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.10, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.10, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.11, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.11, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.11, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.12, 300.00, 200.00, -0.00, 0.07, 0.37
2, 0.12, 299.47, 199.86, -0.00, -1.62, -0.39
3, 0.12, 299.91, 200.09, -0.00, 2.64, -1.21
1, 0.13, 300.00, 200.00, -0.00, 0.07, 0.37
