Drone,Time,North,East,Altitude,Vx,Vy
1, 0.00, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.00, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.00, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.00, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.00, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.01, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.01, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.01, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.01, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.01, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.02, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.02, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.02, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.02, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.02, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.03, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.03, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.03, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.03, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.03, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.04, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.04, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.04, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.04, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.04, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.05, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.05, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.05, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.05, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.05, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.06, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.06, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.06, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.06, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.06, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.07, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.07, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.07, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.07, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.07, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.08, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.08, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.08, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.08, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.08, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.09, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.09, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.09, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.09, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.09, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.10, 250.00, 250.00, -0.00, 0.16, 0.12
2, 0.10, 250.00, 250.00, -0.00, 0.13, 0.05
3, 0.10, 250.00, 250.00, -0.00, -0.05, 0.01
4, 0.10, 250.00, 250.00, -0.00, -0.02, -0.08
5, 0.10, 249.66, 249.64, -0.00, -0.05, -0.03
1, 0.11, 250.00, 250.00, -0.00, 0.16, 0.12
