Drone,Time,North,East,Altitude,Vx,Vy
1, 0.00, 132.05, 66.84, -0.00, 0.68, 1.38
2, 0.00, 250.04, 299.11, -0.00, 2.48, 1.93
3, 0.00, 300.10, 300.03, -0.00, 0.34, 0.14
4, 0.00, NaN, NaN, NaN, NaN, NaN
5, 0.00, 184.62, 89.58, -0.00, 0.82, 2.01
6, 0.00, 273.62, 306.50, -0.00, 3.24, 0.29
7, 0.00, 183.88, 247.56, -0.00, 4.53, 3.21
8, 0.00, 300.00, 300.00, -0.00, -0.37, 0.00
9, 0.00, 171.62, 132.12, -0.00, 2.83, 1.92
10, 0.00, 248.04, 249.58, -0.00, 0.32, 0.96
1, 0.01, 132.05, 66.84, -0.00, 0.68, 1.38
2, 0.01, 250.04, 299.11, -0.00, 2.48, 1.93
3, 0.01, 300.10, 300.03, -0.00, 0.34, 0.14
4, 0.01, NaN, NaN, NaN, NaN, NaN
5, 0.01, 184.62, 89.58, -0.00, 0.82, 2.01
6, 0.01, 273.62, 306.50, -0.00, 3.24, 0.29
7, 0.01, 183.88, 247.56, -0.00, 4.53, 3.21
8, 0.01, 300.00, 300.00, -0.00, -0.37, 0.00
9, 0.01, 171.62, 132.12, -0.00, 2.83, 1.92
10, 0.01, 248.04, 249.58, -0.00, 0.32, 0.96
1, 0.02, 132.05, 66.84, -0.00, 0.68, 1.38
2, 0.02, 250.04, 299.11, -0.00, 2.48, 1.93
3, 0.02, 300.10, 300.03, -0.00, 0.34, 0.14
4, 0.02, NaN, NaN, NaN, NaN, NaN
5, 0.02, 184.62, 89.58, -0.00, 0.82, 2.01
6, 0.02, 273.62, 306.50, -0.00, 3.24, 0.29
7, 0.02, 183.88, 247.56, -0.00, 4.53, 3.21
8, 0.02, 300.00, 300.00, -0.00, -0.37, 0.00
9, 0.02, 171.62, 132.12, -0.00, 2.83, 1.92
10, 0.02, 248.04, 249.58, -0.00, 0.32, 0.96
1, 0.03, 132.05, 66.84, -0.00, 0.68, 1.38
2, 0.03, 250.04, 299.11, -0.00, 2.48, 1.93
3, 0.03, 300.10, 300.03, -0.00, 0.34, 0.14
4, 0.03, NaN, NaN, NaN, NaN, NaN
5, 0.03, 184.62, 89.58, -0.00, 0.82, 2.01
6, 0.03, 273.62, 306.50, -0.00, 3.24, 0.29
7, 0.03, 183.88, 247.56, -0.00, 4.53, 3.21
8, 0.03, 300.00, 300.00, -0.00, -0.37, 0.00
9, 0.03, 171.62, 132.12, -0.00, 2.83, 1.92
10, 0.03, 248.04, 249.58, -0.00, 0.32, 0.96
1, 0.04, 132.05, 66.84, -0.00, 0.68, 1.38
2, 0.04, 250.04, 299.11, -0.00, 2.48, 1.93
3, 0.04, 300.10, 300.03, -0.00, 0.34, 0.14
4, 0.04, NaN, NaN, NaN, NaN, NaN
5, 0.04, 184.62, 89.58, -0.00, 0.82, 2.01
